search_term,id,title,downloaded_file
russian,theshield19453gut,"The Shield",DownloadedFiles/theshield19453gut/19453-8.txt
pushkin,russianlyrics11985gut,"Russian Lyrics",DownloadedFiles/russianlyrics11985gut/11985-8.txt
tolstoy,lecturesonrussia31554gut,"Lectures on Russian Literature Pushkin, Gogol, Turgenef, Tolstoy",DownloadedFiles/lecturesonrussia31554gut/31554-8.txt
father,reminiscencesoft00813gut,"Reminiscences of Tolstoy",DownloadedFiles/reminiscencesoft00813gut/rtlst09.txt
people,fatherpayne12264gut,"Father Payne",DownloadedFiles/fatherpayne12264gut/12264-8.txt
thomas,medievalpeople13144gut,"Medieval People",DownloadedFiles/medievalpeople13144gut/13144-8.txt
carlyle,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
himself,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
