search_term,id,title,downloaded_file
titanic,sinkingofthetita00781gut,"Sinking of the Titanic and Great Sea Disasters",DownloadedFiles/sinkingofthetita00781gut/ttnic10.txt
illustrated,titanic31992gut,"Titanic",DownloadedFiles/titanic31992gut/31992-0.txt
church,normandyillustra08505gut,"Normandy, Illustrated, Complete",DownloadedFiles/normandyillustra08505gut/8505-8.txt
people,tiredchurchmembe22422gut,"Tired Church Members",DownloadedFiles/tiredchurchmembe22422gut/22422.txt
thomas,medievalpeople13144gut,"Medieval People",DownloadedFiles/medievalpeople13144gut/13144-8.txt
carlyle,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
himself,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
