search_term,id,title,downloaded_file
edward,probablesons10777gut,"Probable Sons",DownloadedFiles/probablesons10777gut/10777.txt
macdowell,edwardmacdowell14109gut,"Edward MacDowell",DownloadedFiles/edwardmacdowell14109gut/14109-8.txt
musical,edwardmacdowell14109gut,"Edward MacDowell",DownloadedFiles/edwardmacdowell14109gut/14109-8.txt
without,musicalmemories16459gut,"Musical Memories",DownloadedFiles/musicalmemories16459gut/16459-8.txt
should,withoutprejudice06304gut,"Without Prejudice",DownloadedFiles/withoutprejudice06304gut/7prej10.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
