search_term,id,title,downloaded_file
sultan,southernarabia21569gut,"Southern Arabia",DownloadedFiles/southernarabia21569gut/21569-8.txt
seemed,thecircassiansla04795gut,"The Circassian Slave, or, the Sultan's favorite : a story of Constantinople and the Caucasus",DownloadedFiles/thecircassiansla04795gut/tcsts10.txt
public,childrensinterne05180gut,"Children's Internet Protection Act (CIPA) Ruling",DownloadedFiles/childrensinterne05180gut/cipar10.txt
people,publicopinion06456gut,"Public Opinion",DownloadedFiles/publicopinion06456gut/pbpnn10.txt
thomas,medievalpeople13144gut,"Medieval People",DownloadedFiles/medievalpeople13144gut/13144-8.txt
carlyle,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
himself,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
