search_term,id,title,downloaded_file
spanish,spain34875gut,"Spain",DownloadedFiles/spain34875gut/34875-8.txt
browne,spanishdoubloons12639gut,"Spanish Doubloons",DownloadedFiles/spanishdoubloons12639gut/12639.txt
dickens,phizhablotknight33723gut,"'Phiz' (Hablot Knight Browne), a Memoir.",DownloadedFiles/phizhablotknight33723gut/33723-8.txt
rochester,dickensland27572gut,"Dickens-Land",DownloadedFiles/dickensland27572gut/27572-8.txt
family,hydesvillethesto30403gut,"Hydesville The Story of the Rochester Knockings, Which Proclaimed the Advent of Modern Spiritualism",DownloadedFiles/hydesvillethesto30403gut/30403.txt
deborah,hisfamily14396gut,"His Family",DownloadedFiles/hisfamily14396gut/14396-8.txt
father,marypowelldebora21431gut,"Mary Powell & Deborah's Diary",DownloadedFiles/marypowelldebora21431gut/21431-8.txt
people,fatherpayne12264gut,"Father Payne",DownloadedFiles/fatherpayne12264gut/12264-8.txt
thomas,medievalpeople13144gut,"Medieval People",DownloadedFiles/medievalpeople13144gut/13144-8.txt
carlyle,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
himself,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
