search_term,id,title,downloaded_file
revelation,statementonbahul19290gut,"Statement on Bahullh",DownloadedFiles/statementonbahul19290gut/19290-0.txt
church,therevelationexp13229gut,"The Revelation Explained",DownloadedFiles/therevelationexp13229gut/13229-8.txt
people,tiredchurchmembe22422gut,"Tired Church Members",DownloadedFiles/tiredchurchmembe22422gut/22422.txt
thomas,medievalpeople13144gut,"Medieval People",DownloadedFiles/medievalpeople13144gut/13144-8.txt
carlyle,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
himself,thomascarlyle09784gut,"Thomas Carlyle",DownloadedFiles/thomascarlyle09784gut/7carl10.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
