search_term,id,title,downloaded_file
peveril,thecopperprinces26993gut,"The Copper Princess A Story of Lake Superior Mines",DownloadedFiles/thecopperprinces26993gut/26993-8.txt
julian,peverilofthepeak05959gut,"Peveril of the Peak",DownloadedFiles/peverilofthepeak05959gut/pever10.txt
kennedy,julianhome23127gut,"Julian Home",DownloadedFiles/julianhome23127gut/23127.txt
george,kennedysquare04746gut,"Kennedy Square",DownloadedFiles/kennedysquare04746gut/kndsq10.txt
father,georgeleatrim06454gut,"George Leatrim",DownloadedFiles/georgeleatrim06454gut/grltm10.txt
eugene,fatherstafford14755gut,"Father Stafford",DownloadedFiles/fatherstafford14755gut/14755-0.txt
pickering,eugenepickering02534gut,"Eugene Pickering",DownloadedFiles/eugenepickering02534gut/2534.txt
madame,eugenepickering02534gut,"Eugene Pickering",DownloadedFiles/eugenepickering02534gut/2534.txt
delphine,madamedelphine19703gut,"Madame Delphine",DownloadedFiles/madamedelphine19703gut/19703-8.txt
madame,delphine07812gut,"Delphine",DownloadedFiles/delphine07812gut/delph10.txt
