search_term,id,title,downloaded_file
airship,tomswiftandhisai03005gut,"Tom Swift and His Airship",DownloadedFiles/tomswiftandhisai03005gut/03tom10.txt
inventor,tomswiftandhisai03005gut,"Tom Swift and His Airship",DownloadedFiles/tomswiftandhisai03005gut/03tom10.txt
colored,thecoloredinvent21281gut,"The Colored Inventor A Record of Fifty Years",DownloadedFiles/thecoloredinvent21281gut/21281-8.txt
should,thecoloredgirlbe31340gut,"The Colored Girl Beautiful",DownloadedFiles/thecoloredgirlbe31340gut/31340.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
