search_term,id,title,downloaded_file
united,thecommunistthre16142gut,"The Communist Threat in the Taiwan Area",DownloadedFiles/thecommunistthre16142gut/16142.txt
general,theunitedstatesc00005gut,"The United States Constitution",DownloadedFiles/theunitedstatesc00005gut/5858.txt
through,generalscience16593gut,"General Science",DownloadedFiles/generalscience16593gut/16593-8.txt
though,throughrussia02288gut,"Through Russia",DownloadedFiles/throughrussia02288gut/truss10.txt
should,friendsthoughdiv11565gut,"Friends, though divided: A Tale of the Civil War",DownloadedFiles/friendsthoughdiv11565gut/11565.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
