search_term,id,title,downloaded_file
thereof,acounterblasteto17008gut,"A Counter-Blaste to Tobacco",DownloadedFiles/acounterblasteto17008gut/17008-8.txt
shakespeare,shakespearesinso11990gut,"Shakespeare's Insomnia, and the Causes Thereof",DownloadedFiles/shakespearesinso11990gut/11990-8.txt
schiller,shakespearesbone08379gut,"Shakespeare's Bones",DownloadedFiles/shakespearesbone08379gut/shbn10.txt
seiner,friedrichvschill14997gut,"Friedrich v. Schiller's Biographie",DownloadedFiles/friedrichvschill14997gut/14997-8.txt
goethe,untersuchungenbe14223gut,"Untersuchungen ?ber Goethes Faust in seiner ?ltesten Gestalt",DownloadedFiles/untersuchungenbe14223gut/14223-8.txt
mensch,goethesfaust23018gut,"Goethe's Faust",DownloadedFiles/goethesfaust23018gut/23018-8.txt
werden,dermenschistgut35176gut,"Der Mensch ist gut",DownloadedFiles/dermenschistgut35176gut/35176-8.txt
gesellschaft,viribusunitiswie29905gut,"Viribus unitis Wie knnte die europische Cultur nach Bosnien verpflanzt werden?",DownloadedFiles/viribusunitiswie29905gut/29905-0.txt
welche,darwinismusundso20757gut,"Darwinismus und Sozialismus Der Kampf um das Dasein und die Moderne Gesellschaft",DownloadedFiles/darwinismusundso20757gut/20757-8.txt
mutter,heimatlosgeschic20780gut,"Heimatlos Geschichten fr Kinder und auch fr solche, welche die Kinder lieb haben, 1. Band",DownloadedFiles/heimatlosgeschic20780gut/20780-0.txt
wieder,mutterundkind04083gut,"Mutter und Kind",DownloadedFiles/mutterundkind04083gut/7mutt10.txt
werden,kritikderreinenv06343gut,"Kritik der reinen Vernunft: Zweite hin und wieder verbesserte Auflage (1787)",DownloadedFiles/kritikderreinenv06343gut/7ikc210.txt
