search_term,id,title,downloaded_file
carbon,theworkingofstee20282gut,"The Working of Steel Annealing, Heat Treating and Hardening of Carbon and Alloy Steel",DownloadedFiles/theworkingofstee20282gut/20282-8.txt
temperature,theworkingofstee20282gut,"The Working of Steel Annealing, Heat Treating and Hardening of Carbon and Alloy Steel",DownloadedFiles/theworkingofstee20282gut/20282-8.txt
boiler,engineeringbulle20146gut,"Engineering Bulletin No 1: Boiler and Furnace Testing",DownloadedFiles/engineeringbulle20146gut/20146-8.txt
_peggy,thepotboiler05806gut,"The Pot Boiler",DownloadedFiles/thepotboiler05806gut/pboil10.txt
bertha,peggy25448gut,"Peggy",DownloadedFiles/peggy25448gut/25448-8.txt
father,bertha13470gut,"Bertha",DownloadedFiles/bertha13470gut/13470.txt
eugene,fatherstafford14755gut,"Father Stafford",DownloadedFiles/fatherstafford14755gut/14755-0.txt
pickering,eugenepickering02534gut,"Eugene Pickering",DownloadedFiles/eugenepickering02534gut/2534.txt
madame,eugenepickering02534gut,"Eugene Pickering",DownloadedFiles/eugenepickering02534gut/2534.txt
delphine,madamedelphine19703gut,"Madame Delphine",DownloadedFiles/madamedelphine19703gut/19703-8.txt
madame,delphine07812gut,"Delphine",DownloadedFiles/delphine07812gut/delph10.txt
