search_term,id,title,downloaded_file
carroll,vaneofthetimberl09778gut,"Vane of the Timberlands",DownloadedFiles/vaneofthetimberl09778gut/7vane10.txt
esther,thecarrollgirls29171gut,"The Carroll Girls",DownloadedFiles/thecarrollgirls29171gut/29171.txt
hazard,esther14409gut,"Esther",DownloadedFiles/esther14409gut/14409-8.txt
fitzgerald,asplendidhazard15671gut,"A Splendid Hazard",DownloadedFiles/asplendidhazard15671gut/15671-8.txt
gerald,geraldfitzgerald32560gut,"Gerald Fitzgerald The Chevalier",DownloadedFiles/geraldfitzgerald32560gut/32560-8.txt
himself,geraldfitzgerald32560gut,"Gerald Fitzgerald The Chevalier",DownloadedFiles/geraldfitzgerald32560gut/32560-8.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
