search_term,id,title,downloaded_file
bessie,thevicissitudeso17086gut,"The Vicissitudes of Bessie Fairfax",DownloadedFiles/thevicissitudeso17086gut/17086-8.txt
saunders,bessiecostrell22128gut,"Bessie Costrell",DownloadedFiles/bessiecostrell22128gut/22128.txt
mattie,redsaunders12196gut,"Red Saunders",DownloadedFiles/redsaunders12196gut/12196.txt
sidney,mattieastrayvolo35291gut,"Mattie:A Stray (Vol 2 of 3)",DownloadedFiles/mattieastrayvolo35291gut/35291-8.txt
lanier,abiographyofsidn01224gut,"A Biography of Sidney Lanier",DownloadedFiles/abiographyofsidn01224gut/lanrb10.txt
poetry,abiographyofsidn01224gut,"A Biography of Sidney Lanier",DownloadedFiles/abiographyofsidn01224gut/lanrb10.txt
harmony,poetry11496gut,"Poetry",DownloadedFiles/poetry11496gut/11496-0.txt
father,thegospelsinfour04319gut,"The Gospels in Four Part Harmony",DownloadedFiles/thegospelsinfour04319gut/gfour10.txt
eugene,fatherstafford14755gut,"Father Stafford",DownloadedFiles/fatherstafford14755gut/14755-0.txt
pickering,eugenepickering02534gut,"Eugene Pickering",DownloadedFiles/eugenepickering02534gut/2534.txt
madame,eugenepickering02534gut,"Eugene Pickering",DownloadedFiles/eugenepickering02534gut/2534.txt
delphine,madamedelphine19703gut,"Madame Delphine",DownloadedFiles/madamedelphine19703gut/19703-8.txt
madame,delphine07812gut,"Delphine",DownloadedFiles/delphine07812gut/delph10.txt
