search_term,id,title,downloaded_file
loring,awoundedname21345gut,"A Wounded Name",DownloadedFiles/awoundedname21345gut/21345-8.txt
printed,catalogueofthewi16844gut,"Catalogue of the William Loring Andrews Collection of Early Books in the Library of Yale University",DownloadedFiles/catalogueofthewi16844gut/16844-0.txt
things,thefirstnewtesta10553gut,"The first New Testament printed in English",DownloadedFiles/thefirstnewtesta10553gut/10553-8.txt
should,threethings25215gut,"Three Things",DownloadedFiles/threethings25215gut/25215-8.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
