search_term,id,title,downloaded_file
harkness,astoundingstorie30532gut,"Astounding Stories, May, 1931",DownloadedFiles/astoundingstorie30532gut/30532-8.txt
circus,andytheacrobat10396gut,"Andy the Acrobat",DownloadedFiles/andytheacrobat10396gut/10396.txt
morgan,circus22875gut,"Circus",DownloadedFiles/circus22875gut/22875.txt
general,historyofmorgans31232gut,"History of Morgan's Cavalry",DownloadedFiles/historyofmorgans31232gut/31232-8.txt
through,generalscience16593gut,"General Science",DownloadedFiles/generalscience16593gut/16593-8.txt
though,throughrussia02288gut,"Through Russia",DownloadedFiles/throughrussia02288gut/truss10.txt
should,friendsthoughdiv11565gut,"Friends, though divided: A Tale of the Civil War",DownloadedFiles/friendsthoughdiv11565gut/11565.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
