search_term,id,title,downloaded_file
rosamond,rosamondortheyou05990gut,"Rosamond - or, the Youthful Error",DownloadedFiles/rosamondortheyou05990gut/rosmd10.txt
browning,rosamondortheyou05990gut,"Rosamond - or, the Youthful Error",DownloadedFiles/rosamondortheyou05990gut/rosmd10.txt
things,robertbrowning13342gut,"Robert Browning",DownloadedFiles/robertbrowning13342gut/13342-8.txt
should,threethings25215gut,"Three Things",DownloadedFiles/threethings25215gut/25215-8.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
