search_term,id,title,downloaded_file
criminal,crimeitscauseand12027gut,"Crime: Its Cause and Treatment",DownloadedFiles/crimeitscauseand12027gut/12027-8.txt
criminals,criminalsociolog00477gut,"Criminal Sociology",DownloadedFiles/criminalsociolog00477gut/crsoc09.txt
defendant,courtsandcrimina05268gut,"Courts and Criminals",DownloadedFiles/courtsandcrimina05268gut/crtcr10.txt
things,thedefendant12245gut,"The Defendant",DownloadedFiles/thedefendant12245gut/12245-8.txt
should,threethings25215gut,"Three Things",DownloadedFiles/threethings25215gut/25215-8.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
criminal,crimeitscauseand12027gut,"Crime: Its Cause and Treatment",DownloadedFiles/crimeitscauseand12027gut/12027-8.txt
criminals,criminalsociolog00477gut,"Criminal Sociology",DownloadedFiles/criminalsociolog00477gut/crsoc09.txt
defendant,courtsandcrimina05268gut,"Courts and Criminals",DownloadedFiles/courtsandcrimina05268gut/crtcr10.txt
things,thedefendant12245gut,"The Defendant",DownloadedFiles/thedefendant12245gut/12245-8.txt
should,threethings25215gut,"Three Things",DownloadedFiles/threethings25215gut/25215-8.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
