search_term,id,title,downloaded_file
father,wintereveningtal16222gut,"Winter Evening Tales",DownloadedFiles/wintereveningtal16222gut/16222-8.txt
eugene,fatherstafford14755gut,"Father Stafford",DownloadedFiles/fatherstafford14755gut/14755-0.txt
pickering,eugenepickering02534gut,"Eugene Pickering",DownloadedFiles/eugenepickering02534gut/2534.txt
madame,eugenepickering02534gut,"Eugene Pickering",DownloadedFiles/eugenepickering02534gut/2534.txt
charles,madamebovary14155gut,"Madame Bovary",DownloadedFiles/madamebovary14155gut/14155-8.txt
coleridge,charleslamb06166gut,"Charles Lamb",DownloadedFiles/charleslamb06166gut/chrls10.txt
through,poemsofcoleridge08208gut,"Poems of Coleridge",DownloadedFiles/poemsofcoleridge08208gut/7pcol10.txt
though,throughrussia02288gut,"Through Russia",DownloadedFiles/throughrussia02288gut/truss10.txt
should,friendsthoughdiv11565gut,"Friends, though divided: A Tale of the Civil War",DownloadedFiles/friendsthoughdiv11565gut/11565.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
