search_term,id,title,downloaded_file
davies,underfire20101gut,"Under Fire",DownloadedFiles/underfire20101gut/20101-8.txt
ebooks,foliage09323gut,"Foliage",DownloadedFiles/foliage09323gut/folge10.txt
copyright,ebooksneithereno11077gut,"Ebooks: Neither E, Nor Books",DownloadedFiles/ebooksneithereno11077gut/11077.txt
author,literarycopyrigh03116gut,"Literary Copyright",DownloadedFiles/literarycopyrigh03116gut/3116.txt
artist,theauthorscraft12743gut,"The Author's Craft",DownloadedFiles/theauthorscraft12743gut/12743-8.txt
nuremberg,drerartistbiogra32787gut,"Drer Artist-Biographies",DownloadedFiles/drerartistbiogra32787gut/32787-8.txt
siegfried,thewagnerianroma27265gut,"The Wagnerian Romances",DownloadedFiles/thewagnerianroma27265gut/27265-8.txt
gunther,thestoryofsiegfr06866gut,"The Story of Siegfried",DownloadedFiles/thestoryofsiegfr06866gut/stsgf10.txt
electronic,systematicstatus34954gut,"Systematic Status of the Colubrid Snake, Leptodeira discolor Gunther",DownloadedFiles/systematicstatus34954gut/34954-8.txt
scotty,theelectronicmin28813gut,"The Electronic Mind Reader",DownloadedFiles/theelectronicmin28813gut/28813-8.txt
