search_term,id,title,downloaded_file
horace,greatpossessions10593gut,"Great Possessions",DownloadedFiles/greatpossessions10593gut/10593.txt
himself,horace07278gut,"Horace",DownloadedFiles/horace07278gut/7hrce10.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
horace,greatpossessions10593gut,"Great Possessions",DownloadedFiles/greatpossessions10593gut/10593.txt
himself,horace07278gut,"Horace",DownloadedFiles/horace07278gut/7hrce10.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
