search_term,id,title,downloaded_file
soames,tolet03817gut,"To Let",DownloadedFiles/tolet03817gut/toltg10.txt
rather,enochsoamesamemo00760gut,"Enoch Soames: a memory of the eighteen-nineties",DownloadedFiles/enochsoamesamemo00760gut/enoch10.txt
israel,thebibledouayrhe08300gut,"The Bible, Douay-Rheims, Complete: The Challoner Revision",DownloadedFiles/thebibledouayrhe08300gut/8300-8.txt
himself,israelpotter15422gut,"Israel Potter",DownloadedFiles/israelpotter15422gut/15422-8.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
soames,tolet03817gut,"To Let",DownloadedFiles/tolet03817gut/toltg10.txt
rather,enochsoamesamemo00760gut,"Enoch Soames: a memory of the eighteen-nineties",DownloadedFiles/enochsoamesamemo00760gut/enoch10.txt
israel,thebibledouayrhe08300gut,"The Bible, Douay-Rheims, Complete: The Challoner Revision",DownloadedFiles/thebibledouayrhe08300gut/8300-8.txt
himself,israelpotter15422gut,"Israel Potter",DownloadedFiles/israelpotter15422gut/15422-8.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
