search_term,id,title,downloaded_file
squadron,throughpalestine17109gut,"Through Palestine with the 20th Machine Gun Squadron",DownloadedFiles/throughpalestine17109gut/17109-8.txt
though,theboyscoutsofth12947gut,"The Boy Scouts of the Flying Squadron",DownloadedFiles/theboyscoutsofth12947gut/12947.txt
should,friendsthoughdiv11565gut,"Friends, though divided: A Tale of the Civil War",DownloadedFiles/friendsthoughdiv11565gut/11565.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
squadron,throughpalestine17109gut,"Through Palestine with the 20th Machine Gun Squadron",DownloadedFiles/throughpalestine17109gut/17109-8.txt
though,theboyscoutsofth12947gut,"The Boy Scouts of the Flying Squadron",DownloadedFiles/theboyscoutsofth12947gut/12947.txt
should,friendsthoughdiv11565gut,"Friends, though divided: A Tale of the Civil War",DownloadedFiles/friendsthoughdiv11565gut/11565.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
