search_term,id,title,downloaded_file
internet,opensourcedemocr10753gut,"Open Source Democracy",DownloadedFiles/opensourcedemocr10753gut/10753.txt
information,surfingtheintern00049gut,"Surfing the Internet",DownloadedFiles/surfingtheintern00049gut/pg49.txt
nevada,renoabookofshort05951gut,"Reno - a Book of Short Stories and Information",DownloadedFiles/renoabookofshort05951gut/renos10.txt
ferrers,theyoungengineer12777gut,"The Young Engineers in Nevada: Or, Seeking Fortune on the Turn of a Pick",DownloadedFiles/theyoungengineer12777gut/12777.txt
internet,opensourcedemocr10753gut,"Open Source Democracy",DownloadedFiles/opensourcedemocr10753gut/10753.txt
information,surfingtheintern00049gut,"Surfing the Internet",DownloadedFiles/surfingtheintern00049gut/pg49.txt
nevada,renoabookofshort05951gut,"Reno - a Book of Short Stories and Information",DownloadedFiles/renoabookofshort05951gut/renos10.txt
ferrers,theyoungengineer12777gut,"The Young Engineers in Nevada: Or, Seeking Fortune on the Turn of a Pick",DownloadedFiles/theyoungengineer12777gut/12777.txt
internet,opensourcedemocr10753gut,"Open Source Democracy",DownloadedFiles/opensourcedemocr10753gut/10753.txt
information,surfingtheintern00049gut,"Surfing the Internet",DownloadedFiles/surfingtheintern00049gut/pg49.txt
nevada,renoabookofshort05951gut,"Reno - a Book of Short Stories and Information",DownloadedFiles/renoabookofshort05951gut/renos10.txt
ferrers,theyoungengineer12777gut,"The Young Engineers in Nevada: Or, Seeking Fortune on the Turn of a Pick",DownloadedFiles/theyoungengineer12777gut/12777.txt
