search_term,id,title,downloaded_file
goldthwaite,thankfulrest12998gut,"Thankful Rest",DownloadedFiles/thankfulrest12998gut/12998.txt
leslie,asummerinleslieg11141gut,"A Summer in Leslie Goldthwaite's Life.",DownloadedFiles/asummerinleslieg11141gut/11141-8.txt
little,asummerinleslieg11141gut,"A Summer in Leslie Goldthwaite's Life.",DownloadedFiles/asummerinleslieg11141gut/11141-8.txt
electronic,littlestoriesfor22896gut,"Little Stories for Little Children",DownloadedFiles/littlestoriesfor22896gut/22896.txt
scotty,theelectronicmin28813gut,"The Electronic Mind Reader",DownloadedFiles/theelectronicmin28813gut/28813-8.txt
goldthwaite,thankfulrest12998gut,"Thankful Rest",DownloadedFiles/thankfulrest12998gut/12998.txt
leslie,asummerinleslieg11141gut,"A Summer in Leslie Goldthwaite's Life.",DownloadedFiles/asummerinleslieg11141gut/11141-8.txt
little,asummerinleslieg11141gut,"A Summer in Leslie Goldthwaite's Life.",DownloadedFiles/asummerinleslieg11141gut/11141-8.txt
electronic,littlestoriesfor22896gut,"Little Stories for Little Children",DownloadedFiles/littlestoriesfor22896gut/22896.txt
scotty,theelectronicmin28813gut,"The Electronic Mind Reader",DownloadedFiles/theelectronicmin28813gut/28813-8.txt
