search_term,id,title,downloaded_file
praise,twonations08127gut,"Two Nations",DownloadedFiles/twonations08127gut/7twon10.txt
things,thepraiseoffolly09371gut,"The Praise of Folly",DownloadedFiles/thepraiseoffolly09371gut/7efly10.txt
should,threethings25215gut,"Three Things",DownloadedFiles/threethings25215gut/25215-8.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
praise,twonations08127gut,"Two Nations",DownloadedFiles/twonations08127gut/7twon10.txt
things,thepraiseoffolly09371gut,"The Praise of Folly",DownloadedFiles/thepraiseoffolly09371gut/7efly10.txt
should,threethings25215gut,"Three Things",DownloadedFiles/threethings25215gut/25215-8.txt
singing,whateverysingers32602gut,"What Every Singer Should Know",DownloadedFiles/whateverysingers32602gut/32602-0.txt
composer,styleinsinging21400gut,"Style in Singing",DownloadedFiles/styleinsinging21400gut/21400-8.txt
wagner,richardwagner16431gut,"Richard Wagner: Composer of Operas",DownloadedFiles/richardwagner16431gut/16431-8.txt
isolda,wagner14441gut,"Wagner",DownloadedFiles/wagner14441gut/14441-8.txt
tristan,tristanandisolda16250gut,"Tristan and Isolda: Opera in Three Acts",DownloadedFiles/tristanandisolda16250gut/16250-8.txt
spinell,tristan13810gut,"Tristan",DownloadedFiles/tristan13810gut/13810-8.txt
