search_term,id,title,downloaded_file
elizabeth,thewholefamilyan05066gut,"The Whole Family: a Novel by Twelve Authors",DownloadedFiles/thewholefamilyan05066gut/whfam10.txt
prison,elizabethfry16606gut,"Elizabeth Fry",DownloadedFiles/elizabethfry16606gut/16606-8.txt
ragnarok,spaceprison22549gut,"Space Prison",DownloadedFiles/spaceprison22549gut/22549.txt
legends,ragnaroktheageof05109gut,"Ragnarok : the Age of Fire and Gravel",DownloadedFiles/ragnaroktheageof05109gut/ragna10.txt
himself,sevenlegends34504gut,"Seven Legends",DownloadedFiles/sevenlegends34504gut/34504-8.txt
herbert,helpinghimself05833gut,"Helping Himself",DownloadedFiles/helpinghimself05833gut/hlpng10.txt
squire,herbertcartersle06162gut,"Herbert Carter's Legacy",DownloadedFiles/herbertcartersle06162gut/hrbcl10.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
jaffrey,missmehetabelsso23357gut,"Miss Mehetabel's Son",DownloadedFiles/missmehetabelsso23357gut/23357-8.txt
elizabeth,thewholefamilyan05066gut,"The Whole Family: a Novel by Twelve Authors",DownloadedFiles/thewholefamilyan05066gut/whfam10.txt
squire,elizabethscampai13573gut,"Elizabeth's Campaign",DownloadedFiles/elizabethscampai13573gut/13573-8.txt
mehetabel,thebroomsquire30354gut,"The Broom-Squire",DownloadedFiles/thebroomsquire30354gut/30354.txt
